timestamp,distance
1770640863.1369722,0
1770640863.189952,0
1770640863.241804,0
1770640863.2936003,0
1770640863.3454392,0
1770640863.3973205,0
1770640863.4492655,0
1770640863.5010962,0
1770640863.5529406,0
1770640863.6047466,0
1770640863.6565473,0
1770640863.7083871,0
1770640863.7601986,0
1770640863.8120413,0
1770640863.8638844,0
1770640863.9157178,0
1770640863.9676735,0
1770640864.0195065,0
1770640864.0712838,0
1770640864.123123,0
1770640864.175025,0
1770640864.2268395,0
1770640864.278699,0
1770640864.330524,0
1770640864.3822923,0
1770640864.4344656,0
1770640864.4864376,0
1770640864.5382257,0
1770640864.5900528,0
1770640864.6418698,0
1770640864.6936612,0
1770640864.7460768,0
1770640864.7981741,0
1770640864.8501215,0
1770640864.9020152,0
1770640864.954186,0
1770640865.0063372,0
1770640865.0591278,0
1770640865.11123,0
1770640865.163071,0
1770640865.2149255,0
1770640865.2667453,0
1770640865.318576,0
1770640865.37045,0
1770640865.422275,0
1770640865.4740686,0
1770640865.5258834,0
1770640865.5777285,0
1770640865.6301265,0
1770640865.681966,0
1770640865.7337716,0
1770640865.7856405,0
1770640865.8374565,0
1770640865.8892817,0
1770640865.9410484,0
1770640865.9928386,0
1770640866.044657,0
1770640866.0964704,0
1770640866.1482844,0
1770640866.200111,0
1770640866.252182,0
1770640866.304008,0
1770640866.3558278,0
1770640866.4076526,0
1770640866.459453,0
1770640866.5112724,0
1770640866.5630963,0
1770640866.6149232,0
1770640866.666767,0
1770640866.718532,0
1770640866.7703602,0
1770640866.8221989,0
1770640866.8740041,0
1770640866.925862,0
1770640866.9776921,0
1770640867.0295184,0
1770640867.0813415,0
1770640867.1331654,0
1770640867.18509,0
1770640867.236953,0
1770640867.2887988,0
1770640867.340641,0
1770640867.3936317,0
1770640867.4454036,0
1770640867.497215,0
1770640867.5490246,0
1770640867.6008408,0
1770640867.652649,0
1770640867.704508,0
1770640867.7563536,0
1770640867.8081555,0
1770640867.8600392,0
1770640867.9119446,0
1770640867.963745,0
1770640868.0155447,0
1770640868.0673163,0
1770640868.1191845,0
1770640868.1710021,0
1770640868.2228386,0
1770640868.2746525,0
1770640868.3264258,0
1770640868.378272,0
1770640868.430113,0
1770640868.48194,0
1770640868.5337822,0
1770640868.585634,0
1770640868.6374593,0
1770640868.6893144,0
1770640868.7411466,0
1770640868.7929695,0
1770640868.8449361,0
1770640868.8967876,0
1770640868.9486074,0
1770640869.0004685,0
1770640869.0522842,0
1770640869.1041067,0
1770640869.1559398,0
1770640869.2077792,0
1770640869.2596214,0
1770640869.311595,0
1770640869.3634233,0
1770640869.4152718,0
1770640869.4671106,0
1770640869.5189383,0
1770640869.570947,0
1770640869.6227732,0
1770640869.6746101,0
1770640869.7264493,0
1770640869.7782774,0
1770640869.830451,0
1770640869.8824205,0
1770640869.9341996,0
1770640869.9860225,0
1770640870.0378323,0
1770640870.0897076,0
1770640870.1417751,0
1770640870.1964877,0
1770640870.2483258,0
1770640870.3001373,0
1770640870.3519557,0
1770640870.4037702,0
1770640870.4555888,0
1770640870.507413,0
1770640870.559236,0
1770640870.6110477,0
1770640870.6628492,0
1770640870.714675,0
1770640870.766455,0
1770640870.8182333,0
1770640870.8700137,0
1770640870.921807,0
1770640870.9737039,0
1770640871.0254595,0
1770640871.0772786,0
1770640871.1290421,0
1770640871.1809752,0
1770640871.232799,0
1770640871.284626,0
1770640871.3364575,0
1770640871.3891673,0
1770640871.440977,0
1770640871.492784,0
1770640871.5445929,0
1770640871.5964165,0
1770640871.6482227,0
1770640871.700055,0
1770640871.7518015,0
1770640871.8035884,0
1770640871.8554368,0
1770640871.9072556,0
1770640871.9590712,0
1770640872.0108998,0
1770640872.0627232,0
1770640872.1145282,0
1770640872.1663706,0
1770640872.2182045,0
1770640872.270041,0
1770640872.321831,0
1770640872.3736672,0
1770640872.425482,0
1770640872.4773107,0
1770640872.52912,0
1770640872.580945,0
1770640872.6327715,0
1770640872.687887,0
1770640872.7397027,0
1770640872.791516,0
1770640872.8433397,0
1770640872.8955555,0
1770640872.9473643,0
1770640872.999188,0
1770640873.0509965,0
1770640873.1028078,0
1770640873.1545599,0
1770640873.206366,0
